Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 93.61 -0.76 GPS
DUCK P-100 1998-01-27 94.01 -0.81 GPS
DUCK P-100 1998-01-27 94.71 -0.90 GPS
DUCK P-100 1998-01-27 95.41 -0.93 GPS
DUCK P-100 1998-01-27 95.81 -1.00 GPS
DUCK P-100 1998-01-27 96.61 -1.14 GPS
DUCK P-100 1998-01-27 97.31 -1.25 GPS
DUCK P-100 1998-01-27 98.11 -1.31 GPS
DUCK P-100 1998-01-27 98.41 -1.39 GPS
DUCK P-100 1998-01-27 99.01 -1.42 GPS
DUCK P-100 1998-01-27 99.51 -1.41 GPS
DUCK P-100 1998-01-27 99.91 -1.42 GPS
DUCK P-100 1998-01-27 100.41 -1.43 GPS
DUCK P-100 1998-01-27 100.91 -1.44 GPS
DUCK P-100 1998-01-27 101.11 -1.44 GPS
DUCK P-100 1998-01-27 101.61 -1.46 GPS
DUCK P-100 1998-01-27 101.91 -1.46 GPS
DUCK P-100 1998-01-27 102.41 -1.47 GPS
DUCK P-100 1998-01-27 102.71 -1.48 GPS
DUCK P-100 1998-01-27 103.31 -1.49 GPS
DUCK P-100 1998-01-27 103.91 -1.50 GPS
DUCK P-100 1998-01-27 104.21 -1.50 GPS
DUCK P-100 1998-01-27 104.71 -1.51 GPS
DUCK P-100 1998-01-27 105.31 -1.52 GPS
DUCK P-100 1998-01-27 105.91 -1.55 GPS
DUCK P-100 1998-01-27 106.61 -1.59 GPS
DUCK P-100 1998-01-27 108.31 -1.66 GPS
DUCK P-100 1998-01-27 109.01 -1.70 GPS
DUCK P-100 1998-01-27 109.51 -1.76 GPS
DUCK P-100 1998-01-27 111.01 -1.86 GPS
DUCK P-100 1998-01-27 111.51 -1.93 GPS
DUCK P-100 1998-01-27 111.91 -1.96 GPS
DUCK P-100 1998-01-27 112.51 -1.92 GPS
DUCK P-100 1998-01-27 113.11 -1.91 GPS
DUCK P-100 1998-01-27 113.81 -1.94 GPS
DUCK P-100 1998-01-27 114.41 -1.96 GPS
DUCK P-100 1998-01-27 114.91 -1.98 GPS
DUCK P-100 1998-01-27 115.41 -2.04 GPS
DUCK P-100 1998-01-27 116.01 -2.05 GPS
DUCK P-100 1998-01-27 116.61 -2.04 GPS
DUCK P-100 1998-01-27 117.11 -2.06 GPS
DUCK P-100 1998-01-27 117.71 -2.11 GPS
DUCK P-100 1998-01-27 118.21 -2.14 GPS
DUCK P-100 1998-01-27 118.81 -2.13 GPS
DUCK P-100 1998-01-27 119.41 -2.10 GPS
DUCK P-100 1998-01-27 119.81 -2.09 GPS
DUCK P-100 1998-01-27 120.51 -2.10 GPS
DUCK P-100 1998-01-27 121.01 -2.10 GPS
DUCK P-100 1998-01-27 121.51 -2.11 GPS
DUCK P-100 1998-01-27 122.11 -2.12 GPS
DUCK P-100 1998-01-27 122.71 -2.13 GPS
DUCK P-100 1998-01-27 123.11 -2.12 GPS
DUCK P-100 1998-01-27 123.71 -2.15 GPS
DUCK P-100 1998-01-27 124.41 -2.17 GPS
DUCK P-100 1998-01-27 124.81 -2.19 GPS
DUCK P-100 1998-01-27 125.41 -2.20 GPS
DUCK P-100 1998-01-27 126.11 -2.23 GPS
DUCK P-100 1998-01-27 126.71 -2.25 GPS
DUCK P-100 1998-01-27 127.51 -2.30 GPS
DUCK P-100 1998-01-27 128.51 -2.36 GPS
DUCK P-100 1998-01-27 129.11 -2.37 GPS
DUCK P-100 1998-01-27 129.61 -2.40 GPS
DUCK P-100 1998-01-27 130.11 -2.44 GPS
DUCK P-100 1998-01-27 130.81 -2.47 GPS
DUCK P-100 1998-01-27 131.31 -2.47 GPS
DUCK P-100 1998-01-27 131.91 -2.50 GPS
