Easting	Northing	Elevation_OD	Chainage	FC	Profile	Reg_ID
421778.093	93145.108	6.317	10.800	ZZ	N/A	5f00228
421778.104	93144.908	6.300	11.000	ZZ	N/A	5f00228
421778.114	93144.708	6.281	11.200	ZZ	N/A	5f00228
421778.125	93144.509	6.260	11.400	ZZ	N/A	5f00228
421778.135	93144.309	6.239	11.600	ZZ	N/A	5f00228
421778.146	93144.109	6.218	11.800	ZZ	N/A	5f00228
421778.156	93143.909	6.198	12.000	ZZ	N/A	5f00228
421778.166	93143.710	6.177	12.200	ZZ	N/A	5f00228
421778.177	93143.510	6.156	12.400	ZZ	N/A	5f00228
421778.187	93143.310	6.134	12.600	ZZ	N/A	5f00228
421778.198	93143.110	6.113	12.800	ZZ	N/A	5f00228
421778.208	93142.911	6.091	13.000	ZZ	N/A	5f00228
421778.219	93142.711	6.070	13.200	ZZ	N/A	5f00228
421778.229	93142.511	6.047	13.400	ZZ	N/A	5f00228
421778.240	93142.312	6.026	13.600	ZZ	N/A	5f00228
421778.250	93142.112	6.002	13.800	ZZ	N/A	5f00228
421778.261	93141.912	5.979	14.000	ZZ	N/A	5f00228
421778.271	93141.712	5.957	14.200	ZZ	N/A	5f00228
421778.282	93141.513	5.938	14.400	ZZ	N/A	5f00228
421778.292	93141.313	5.919	14.600	ZZ	N/A	5f00228
421778.303	93141.113	5.901	14.800	ZZ	N/A	5f00228
421778.313	93140.914	5.884	15.000	ZZ	N/A	5f00228
421778.323	93140.714	5.862	15.200	ZZ	N/A	5f00228
421778.334	93140.514	5.840	15.400	ZZ	N/A	5f00228
421778.344	93140.314	5.817	15.600	ZZ	N/A	5f00228
421778.355	93140.115	5.795	15.800	ZZ	N/A	5f00228
421778.365	93139.915	5.772	16.000	ZZ	N/A	5f00228
421778.376	93139.715	5.751	16.200	ZZ	N/A	5f00228
421778.386	93139.515	5.736	16.400	ZZ	N/A	5f00228
421778.397	93139.316	5.717	16.600	ZZ	N/A	5f00228
421778.407	93139.116	5.698	16.800	ZZ	N/A	5f00228
421778.418	93138.916	5.679	17.000	ZZ	N/A	5f00228
421778.428	93138.717	5.660	17.200	ZZ	N/A	5f00228
421778.439	93138.517	5.632	17.400	ZZ	N/A	5f00228
421778.449	93138.317	5.602	17.600	ZZ	N/A	5f00228
421778.460	93138.117	5.565	17.800	ZZ	N/A	5f00228
421778.470	93137.918	5.524	18.000	ZZ	N/A	5f00228
421778.481	93137.718	5.511	18.200	ZZ	N/A	5f00228
421778.491	93137.518	5.526	18.400	ZZ	N/A	5f00228
421778.501	93137.318	5.537	18.600	ZZ	N/A	5f00228
421778.512	93137.119	5.442	18.800	ZZ	N/A	5f00228
421778.522	93136.919	5.436	19.000	ZZ	N/A	5f00228
421778.533	93136.719	5.421	19.200	ZZ	N/A	5f00228
421778.543	93136.520	5.407	19.400	ZZ	N/A	5f00228
421778.554	93136.320	5.393	19.600	ZZ	N/A	5f00228
421778.564	93136.120	5.380	19.800	ZZ	N/A	5f00228
421778.575	93135.920	5.366	20.000	ZZ	N/A	5f00228
421778.585	93135.721	5.353	20.200	ZZ	N/A	5f00228
421778.596	93135.521	5.340	20.400	ZZ	N/A	5f00228
421778.606	93135.321	5.327	20.600	ZZ	N/A	5f00228
421778.617	93135.121	5.314	20.800	ZZ	N/A	5f00228
421778.627	93134.922	5.301	21.000	ZZ	N/A	5f00228
421778.638	93134.722	5.287	21.200	ZZ	N/A	5f00228
421778.648	93134.522	5.274	21.400	ZZ	N/A	5f00228
421778.659	93134.323	5.261	21.600	ZZ	N/A	5f00228
421778.669	93134.123	5.248	21.800	ZZ	N/A	5f00228
421778.679	93133.923	5.235	22.000	ZZ	N/A	5f00228
421778.690	93133.723	5.222	22.200	ZZ	N/A	5f00228
421778.700	93133.524	5.209	22.400	ZZ	N/A	5f00228
421778.711	93133.324	5.195	22.600	ZZ	N/A	5f00228
421778.721	93133.124	5.182	22.800	ZZ	N/A	5f00228
421778.732	93132.924	5.169	23.000	ZZ	N/A	5f00228
421778.742	93132.725	5.156	23.200	ZZ	N/A	5f00228
421778.753	93132.525	5.143	23.400	ZZ	N/A	5f00228
421778.763	93132.325	5.130	23.600	ZZ	N/A	5f00228
421778.774	93132.126	5.117	23.800	ZZ	N/A	5f00228
421778.784	93131.926	5.103	24.000	ZZ	N/A	5f00228
421778.795	93131.726	5.090	24.200	ZZ	N/A	5f00228
421778.805	93131.526	5.077	24.400	ZZ	N/A	5f00228
421778.816	93131.327	5.064	24.600	ZZ	N/A	5f00228
421778.826	93131.127	5.051	24.800	ZZ	N/A	5f00228
421778.836	93130.927	5.038	25.000	ZZ	N/A	5f00228
421778.847	93130.727	5.024	25.200	ZZ	N/A	5f00228
421778.857	93130.528	5.011	25.400	ZZ	N/A	5f00228
421778.868	93130.328	4.998	25.600	ZZ	N/A	5f00228
421778.878	93130.128	4.985	25.800	ZZ	N/A	5f00228
421778.889	93129.929	4.972	26.000	ZZ	N/A	5f00228
421778.899	93129.729	4.959	26.200	ZZ	N/A	5f00228
421778.910	93129.529	4.946	26.400	ZZ	N/A	5f00228
421778.920	93129.330	4.932	26.600	ZZ	N/A	5f00228
421778.931	93129.130	4.922	26.800	ZZ	N/A	5f00228
421778.941	93128.930	4.913	27.000	ZZ	N/A	5f00228
421778.952	93128.730	4.900	27.200	ZZ	N/A	5f00228
421778.962	93128.531	4.885	27.400	ZZ	N/A	5f00228
421778.972	93128.331	4.871	27.600	ZZ	N/A	5f00228
421778.983	93128.131	4.856	27.800	ZZ	N/A	5f00228
421778.993	93127.931	4.842	28.000	ZZ	N/A	5f00228
421779.004	93127.732	4.827	28.200	ZZ	N/A	5f00228
421779.014	93127.532	4.813	28.400	ZZ	N/A	5f00228
421779.025	93127.332	4.798	28.600	ZZ	N/A	5f00228
421779.035	93127.133	4.784	28.800	ZZ	N/A	5f00228
421779.046	93126.933	4.770	29.000	ZZ	N/A	5f00228
421779.056	93126.733	4.755	29.200	ZZ	N/A	5f00228
421779.067	93126.533	4.741	29.400	ZZ	N/A	5f00228
421779.077	93126.334	4.726	29.600	ZZ	N/A	5f00228
421779.088	93126.134	4.714	29.800	ZZ	N/A	5f00228
421779.098	93125.934	4.705	30.000	ZZ	N/A	5f00228
421779.108	93125.734	4.697	30.200	ZZ	N/A	5f00228
421779.119	93125.535	4.689	30.400	ZZ	N/A	5f00228
421779.129	93125.335	4.680	30.600	ZZ	N/A	5f00228
421779.140	93125.135	4.672	30.800	ZZ	N/A	5f00228
421779.150	93124.936	4.663	31.000	ZZ	N/A	5f00228
421779.161	93124.736	4.655	31.200	ZZ	N/A	5f00228
421779.171	93124.536	4.646	31.400	ZZ	N/A	5f00228
421779.182	93124.336	4.638	31.600	ZZ	N/A	5f00228
421779.192	93124.137	4.630	31.800	ZZ	N/A	5f00228
421779.203	93123.937	4.621	32.000	ZZ	N/A	5f00228
421779.213	93123.737	4.613	32.200	ZZ	N/A	5f00228
421779.224	93123.537	4.604	32.400	ZZ	N/A	5f00228
421779.234	93123.338	4.596	32.600	ZZ	N/A	5f00228
421779.245	93123.138	4.588	32.800	ZZ	N/A	5f00228
421779.255	93122.938	4.579	33.000	ZZ	N/A	5f00228
421779.266	93122.739	4.571	33.200	ZZ	N/A	5f00228
421779.276	93122.539	4.562	33.400	ZZ	N/A	5f00228
421779.286	93122.339	4.554	33.600	ZZ	N/A	5f00228
421779.297	93122.139	4.545	33.800	ZZ	N/A	5f00228
421779.307	93121.940	4.537	34.000	ZZ	N/A	5f00228
421779.318	93121.740	4.529	34.200	ZZ	N/A	5f00228
421779.328	93121.540	4.520	34.400	ZZ	N/A	5f00228
421779.339	93121.340	4.512	34.600	ZZ	N/A	5f00228
421779.349	93121.141	4.503	34.800	ZZ	N/A	5f00228
421779.360	93120.941	4.495	35.000	ZZ	N/A	5f00228
421779.370	93120.741	4.487	35.200	ZZ	N/A	5f00228
421779.381	93120.542	4.478	35.400	ZZ	N/A	5f00228
421779.391	93120.342	4.470	35.600	ZZ	N/A	5f00228
421779.402	93120.142	4.461	35.800	ZZ	N/A	5f00228
421779.412	93119.942	4.453	36.000	ZZ	N/A	5f00228
421779.423	93119.743	4.444	36.200	ZZ	N/A	5f00228
421779.433	93119.543	4.436	36.400	ZZ	N/A	5f00228
421779.443	93119.343	4.428	36.600	ZZ	N/A	5f00228
421779.454	93119.143	4.419	36.800	ZZ	N/A	5f00228
421779.464	93118.944	4.411	37.000	ZZ	N/A	5f00228
421779.475	93118.744	4.402	37.200	ZZ	N/A	5f00228
421779.485	93118.544	4.394	37.400	ZZ	N/A	5f00228
421779.496	93118.345	4.386	37.600	ZZ	N/A	5f00228
421779.506	93118.145	4.377	37.800	ZZ	N/A	5f00228
421779.517	93117.945	4.369	38.000	ZZ	N/A	5f00228
421779.527	93117.745	4.360	38.200	ZZ	N/A	5f00228
421779.538	93117.546	4.352	38.400	ZZ	N/A	5f00228
421779.548	93117.346	4.343	38.600	ZZ	N/A	5f00228
421779.559	93117.146	4.335	38.800	ZZ	N/A	5f00228
421779.569	93116.946	4.327	39.000	ZZ	N/A	5f00228
421779.580	93116.747	4.318	39.200	ZZ	N/A	5f00228
421779.590	93116.547	4.310	39.400	ZZ	N/A	5f00228
421779.601	93116.347	4.301	39.600	ZZ	N/A	5f00228
421779.611	93116.148	4.293	39.800	ZZ	N/A	5f00228
421779.621	93115.948	4.285	40.000	ZZ	N/A	5f00228
421779.632	93115.748	4.276	40.200	ZZ	N/A	5f00228
421779.642	93115.548	4.268	40.400	ZZ	N/A	5f00228
421779.653	93115.349	4.264	40.600	ZZ	N/A	5f00228
421779.663	93115.149	4.261	40.800	ZZ	N/A	5f00228
421779.674	93114.949	4.259	41.000	ZZ	N/A	5f00228
421779.684	93114.750	4.256	41.200	ZZ	N/A	5f00228
421779.695	93114.550	4.253	41.400	ZZ	N/A	5f00228
421779.705	93114.350	4.252	41.600	ZZ	N/A	5f00228
421779.716	93114.150	4.251	41.800	ZZ	N/A	5f00228
421779.726	93113.951	4.250	42.000	ZZ	N/A	5f00228
421779.737	93113.751	4.250	42.200	ZZ	N/A	5f00228
421779.747	93113.551	4.250	42.400	ZZ	N/A	5f00228
421779.758	93113.351	4.250	42.600	ZZ	N/A	5f00228
421779.768	93113.152	4.251	42.800	ZZ	N/A	5f00228
421779.778	93112.952	4.252	43.000	ZZ	N/A	5f00228
421779.789	93112.752	4.253	43.200	ZZ	N/A	5f00228
421779.799	93112.553	4.253	43.400	ZZ	N/A	5f00228
421779.810	93112.353	4.254	43.600	ZZ	N/A	5f00228
421779.820	93112.153	4.255	43.800	ZZ	N/A	5f00228
421779.831	93111.953	4.256	44.000	ZZ	N/A	5f00228
421779.841	93111.754	4.256	44.200	ZZ	N/A	5f00228
421779.852	93111.554	4.257	44.400	ZZ	N/A	5f00228
421779.862	93111.354	4.257	44.600	ZZ	N/A	5f00228
421779.873	93111.154	4.257	44.800	ZZ	N/A	5f00228
421779.883	93110.955	4.256	45.000	ZZ	N/A	5f00228
421779.894	93110.755	4.255	45.200	ZZ	N/A	5f00228
421779.904	93110.555	4.255	45.400	ZZ	N/A	5f00228
