Date/Time (GMT)	Latitude	Longitude	Flag	Hs (Hm0)(m)	Hmax (m)	Tp (s)	Tz (Tm)(s)	Dirp (degrees)	Spread (deg)	SST (deg C)
  02-Jan-2018 16:30:00	50.73419	-0.49432	0	1.690	2.480	6.7	4.6	203	 17	9.3
  02-Jan-2018 17:00:00	50.73419	-0.49396	0	1.480	2.340	7.1	4.2	208	 21	9.3
  02-Jan-2018 17:30:00	50.73441	-0.49357	0	1.590	2.280	7.1	4.3	210	 19	9.3
  02-Jan-2018 18:00:00	50.73449	-0.49355	0	1.500	2.120	7.1	4.2	214	 17	9.2
  02-Jan-2018 18:30:00	50.73452	-0.49346	0	1.480	2.210	6.7	3.9	208	 24	9.2
  02-Jan-2018 19:00:00	50.73450	-0.49342	0	1.480	2.120	5.9	3.9	201	 21	9.0
  02-Jan-2018 19:30:00	50.73450	-0.49340	0	1.370	2.150	5.9	3.7	200	 24	8.9
  02-Jan-2018 20:00:00	50.73448	-0.49338	5	1.480	2.050	11.1	3.9	210	 19	8.8
  02-Jan-2018 20:30:00	50.73451	-0.49338	5	1.460	2.830	10.5	3.9	215	 18	8.9
  02-Jan-2018 21:00:00	50.73455	-0.49342	5	1.660	3.050	11.1	3.9	207	 20	9.2
  02-Jan-2018 21:30:00	50.73458	-0.49344	5	1.880	3.240	11.1	4.2	211	 20	9.3
  02-Jan-2018 22:00:00	50.73458	-0.49348	0	2.310	4.660	5.3	4.7	219	 20	9.2
  02-Jan-2018 22:30:00	50.73458	-0.49351	0	2.640	4.470	7.7	5.0	214	 12	9.3
  02-Jan-2018 23:00:00	50.73461	-0.49357	0	2.950	6.040	7.7	5.6	217	 12	9.3
  02-Jan-2018 23:30:00	50.73461	-0.49368	0	3.340	7.180	8.3	5.9	219	  9	9.3
  03-Jan-2018 00:00:00	50.73465	-0.49378	0	3.370	5.190	7.7	6.2	215	 14	9.3
  03-Jan-2018 00:30:00	50.73460	-0.49419	0	3.190	4.290	8.3	6.1	219	 16	9.3
  03-Jan-2018 01:00:00	50.73433	-0.49447	0	3.100	4.380	9.1	6.3	217	 13	9.3
  03-Jan-2018 01:30:00	50.73428	-0.49451	0	2.820	3.450	9.1	6.3	214	 12	9.3
  03-Jan-2018 02:00:00	50.73421	-0.49449	0	2.550	4.000	10.0	6.2	217	 12	9.1
  03-Jan-2018 02:30:00	50.73419	-0.49447	0	2.620	3.440	10.0	6.3	214	 11	9.1
  03-Jan-2018 03:00:00	50.73417	-0.49445	0	2.380	4.180	10.5	5.8	218	 14	8.9
  03-Jan-2018 03:30:00	50.73416	-0.49434	0	2.450	3.670	10.5	5.7	212	 11	8.9
  03-Jan-2018 04:00:00	50.73413	-0.49426	0	2.490	3.520	10.0	5.6	217	 12	8.9
  03-Jan-2018 04:30:00	50.73409	-0.49413	0	2.410	4.230	10.5	5.3	211	 14	8.9
  03-Jan-2018 05:00:00	50.73417	-0.49361	5	2.550	3.210	11.1	5.2	207	 17	8.9
  03-Jan-2018 05:30:00	50.73428	-0.49342	0	2.510	3.850	10.0	5.1	214	 17	8.8
  03-Jan-2018 06:00:00	50.73435	-0.49340	5	2.250	3.490	10.5	4.5	212	 22	8.8
  03-Jan-2018 06:30:00	50.73437	-0.49338	5	2.070	3.620	10.5	4.3	208	 17	8.8
  03-Jan-2018 07:00:00	50.73447	-0.49338	5	2.240	2.830	10.0	4.5	212	 12	8.9
  03-Jan-2018 07:30:00	50.73448	-0.49335	5	2.230	3.450	10.0	4.6	208	 12	9.2
  03-Jan-2018 08:00:00	50.73452	-0.49335	5	2.120	3.430	10.5	4.7	208	 13	9.3
  03-Jan-2018 08:30:00	50.73449	-0.49325	0	2.530	3.630	9.1	5.0	204	 11	9.3
  03-Jan-2018 09:00:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  03-Jan-2018 09:30:00	50.73452	-0.49335	0	3.070	4.040	10.0	5.8	212	 12	8.9
  03-Jan-2018 10:00:00	50.73452	-0.49338	0	3.030	4.270	10.0	6.0	212	 15	9.3
  03-Jan-2018 10:30:00	50.73452	-0.49342	0	2.970	4.870	11.1	5.9	218	 19	9.4
  03-Jan-2018 11:00:00	50.73455	-0.49346	0	3.050	5.520	10.5	6.0	217	 17	9.3
  03-Jan-2018 11:30:00	50.73457	-0.49359	0	3.260	4.440	11.1	6.6	219	 15	9.4
  03-Jan-2018 12:00:00	50.73456	-0.49426	0	3.100	5.000	10.5	6.7	219	 13	9.4
  03-Jan-2018 12:30:00	9999.00000	9999.00000	9	9999.000	9999.000	9999.0	9999.0	9999	9999	9999.0
  03-Jan-2018 13:00:00	50.73431	-0.49447	0	3.080	4.580	10.5	6.7	217	 13	9.3
  03-Jan-2018 13:30:00	50.73431	-0.49451	0	2.840	4.940	7.7	6.3	219	 15	9.2
  03-Jan-2018 14:00:00	50.73422	-0.49447	0	2.780	3.880	9.1	6.5	217	 15	9.2
  03-Jan-2018 14:30:00	50.73423	-0.49449	0	2.650	3.480	10.0	6.2	217	 17	9.1
  03-Jan-2018 15:00:00	50.73420	-0.49443	0	2.470	3.470	10.0	6.1	214	 14	9.3
  03-Jan-2018 15:30:00	50.73418	-0.49443	0	2.330	2.590	10.5	6.0	211	 18	9.3
  03-Jan-2018 16:00:00	50.73416	-0.49441	5	1.950	2.560	11.8	5.6	217	 13	9.2
  03-Jan-2018 16:30:00	50.73416	-0.49436	5	1.880	2.850	10.5	5.1	215	 18	9.1
  03-Jan-2018 17:00:00	50.73411	-0.49430	0	1.710	2.630	5.3	4.8	231	 21	9.0
  03-Jan-2018 17:30:00	50.73417	-0.49421	5	1.700	2.480	10.0	4.8	210	 10	8.9
  03-Jan-2018 18:00:00	50.73412	-0.49387	5	1.550	2.300	10.0	4.4	210	 16	8.9
  03-Jan-2018 18:30:00	50.73439	-0.49353	5	1.620	2.300	10.0	4.4	218	 17	9.0
  03-Jan-2018 19:00:00	50.73443	-0.49346	5	1.610	2.510	16.7	4.1	211	 38	9.1
  03-Jan-2018 19:30:00	50.73446	-0.49340	5	1.670	1.940	15.4	4.2	217	 24	9.1
  03-Jan-2018 20:00:00	50.73449	-0.49338	5	1.620	2.780	14.3	4.3	219	 21	8.9
  03-Jan-2018 20:30:00	50.73450	-0.49338	5	1.780	3.080	14.3	5.0	212	 17	8.8
  03-Jan-2018 21:00:00	50.73451	-0.49338	5	1.960	3.330	11.1	5.3	208	 15	9.1
  03-Jan-2018 21:30:00	50.73453	-0.49340	5	2.200	3.080	15.4	5.7	212	 21	9.2
  03-Jan-2018 22:00:00	50.73453	-0.49340	0	2.110	3.650	9.1	5.3	210	 14	9.2
  03-Jan-2018 22:30:00	50.73455	-0.49344	0	2.450	3.840	10.0	5.7	214	 20	9.3
  03-Jan-2018 23:00:00	50.73456	-0.49348	0	2.580	3.310	9.1	5.8	215	 14	9.3
  03-Jan-2018 23:30:00	50.73456	-0.49353	0	2.620	3.970	11.1	6.1	217	 13	9.3
  04-Jan-2018 00:00:00	50.73457	-0.49363	0	2.630	2.900	9.1	6.2	218	 11	9.3
  04-Jan-2018 00:30:00	50.73458	-0.49419	0	2.450	4.090	11.1	6.3	222	 13	9.3
  04-Jan-2018 01:00:00	50.73434	-0.49447	0	2.240	3.120	10.0	6.3	219	 14	9.3
  04-Jan-2018 01:30:00	50.73431	-0.49456	0	1.970	2.180	10.5	6.3	218	 22	9.3
  04-Jan-2018 02:00:00	50.73427	-0.49458	0	1.670	2.440	10.0	6.0	205	 24	9.1
  04-Jan-2018 02:30:00	50.73424	-0.49456	0	1.550	1.690	10.0	5.8	219	 20	8.9
  04-Jan-2018 03:00:00	50.73422	-0.49456	2	1.260	1.720	22.2	5.2	212	 36	8.9
  04-Jan-2018 03:30:00	50.73420	-0.49453	0	1.110	1.230	10.0	5.1	214	 20	8.9
  04-Jan-2018 04:00:00	50.73420	-0.49449	5	0.940	1.530	12.5	5.0	212	 32	9.1
  04-Jan-2018 04:30:00	50.73419	-0.49449	5	0.810	1.150	22.2	4.9	211	 40	9.1
  04-Jan-2018 05:00:00	50.73420	-0.49447	0	0.700	1.030	6.3	4.6	217	 27	8.9
  04-Jan-2018 05:30:00	50.73419	-0.49445	5	0.650	0.970	13.3	4.7	214	 17	8.9
  04-Jan-2018 06:00:00	50.73421	-0.49445	0	0.600	0.840	5.0	4.3	204	 25	8.8
  04-Jan-2018 06:30:00	50.73425	-0.49436	5	0.650	1.430	16.7	3.9	210	 18	8.8
  04-Jan-2018 07:00:00	50.73460	-0.49389	5	0.700	1.690	16.7	3.5	211	 32	8.9
  04-Jan-2018 07:30:00	50.73449	-0.49357	5	0.930	2.080	14.3	3.3	211	 38	9.1
  04-Jan-2018 08:00:00	50.73451	-0.49348	5	1.310	2.060	14.3	3.5	222	 22	9.1
  04-Jan-2018 08:30:00	50.73450	-0.49342	5	1.500	2.370	13.3	3.6	210	 20	8.8
  04-Jan-2018 09:00:00	50.73451	-0.49340	5	1.720	2.530	13.3	4.0	215	 16	9.0
  04-Jan-2018 09:30:00	50.73452	-0.49342	5	1.810	3.010	11.8	4.2	211	 15	9.1
  04-Jan-2018 10:00:00	50.73454	-0.49338	5	1.870	3.110	14.3	4.5	218	 25	9.2
