Site ProfileID Date Chainage Elevation Flag
NARRA PF1 2014-01-10 23 8.33 DUNEFILL
NARRA PF1 2014-01-10 24 8.22 DUNEFILL
NARRA PF1 2014-01-10 25 8.12 DUNEFILL
NARRA PF1 2014-01-10 26 8.02 DUNEFILL
NARRA PF1 2014-01-10 27 7.92 DUNEFILL
NARRA PF1 2014-01-10 28 7.79 DUNEFILL
NARRA PF1 2014-01-10 29 7.66 DUNEFILL
NARRA PF1 2014-01-10 30 8.03 GPS
NARRA PF1 2014-01-10 31 7.88 GPS
NARRA PF1 2014-01-10 32 7.71 GPS
NARRA PF1 2014-01-10 33 7.54 GPS
NARRA PF1 2014-01-10 34 7.33 GPS
NARRA PF1 2014-01-10 35 6.9 GPS
NARRA PF1 2014-01-10 36 6.52 GPS
NARRA PF1 2014-01-10 37 6.22 GPS
NARRA PF1 2014-01-10 38 6.02 GPS
NARRA PF1 2014-01-10 39 5.83 GPS
NARRA PF1 2014-01-10 40 5.66 GPS
NARRA PF1 2014-01-10 41 5.44 GPS
NARRA PF1 2014-01-10 42 5.2 GPS
NARRA PF1 2014-01-10 43 4.94 GPS
NARRA PF1 2014-01-10 44 4.65 GPS
NARRA PF1 2014-01-10 45 4.39 GPS
NARRA PF1 2014-01-10 46 4.11 GPS
NARRA PF1 2014-01-10 47 3.88 GPS
NARRA PF1 2014-01-10 48 3.66 GPS
NARRA PF1 2014-01-10 49 3.47 GPS
NARRA PF1 2014-01-10 50 3.32 GPS
NARRA PF1 2014-01-10 51 3.25 GPS
NARRA PF1 2014-01-10 52 3.17 GPS
NARRA PF1 2014-01-10 53 3.18 GPS
NARRA PF1 2014-01-10 54 3.12 GPS
NARRA PF1 2014-01-10 55 3.05 GPS
NARRA PF1 2014-01-10 56 3.04 GPS
NARRA PF1 2014-01-10 57 2.97 GPS
NARRA PF1 2014-01-10 58 2.99 GPS
NARRA PF1 2014-01-10 59 2.95 GPS
NARRA PF1 2014-01-10 60 2.9 GPS
NARRA PF1 2014-01-10 61 2.84 GPS
NARRA PF1 2014-01-10 62 2.69 GPS
NARRA PF1 2014-01-10 63 2.55 GPS
NARRA PF1 2014-01-10 64 2.39 GPS
NARRA PF1 2014-01-10 65 2.27 GPS
NARRA PF1 2014-01-10 66 2.18 GPS
NARRA PF1 2014-01-10 67 2.09 GPS
NARRA PF1 2014-01-10 68 1.98 GPS
NARRA PF1 2014-01-10 69 1.83 GPS
NARRA PF1 2014-01-10 70 1.7 GPS
NARRA PF1 2014-01-10 71 1.57 GPS
NARRA PF1 2014-01-10 72 1.42 GPS
NARRA PF1 2014-01-10 73 1.26 GPS
NARRA PF1 2014-01-10 74 1.12 GPS
NARRA PF1 2014-01-10 75 0.97 GPS
NARRA PF1 2014-01-10 76 0.83 GPS
NARRA PF1 2014-01-10 77 0.68 GPS
NARRA PF1 2014-01-10 78 0.55 GPS
NARRA PF1 2014-01-10 79 0.37 GPS
NARRA PF1 2014-01-10 80 0.24 GPS
NARRA PF1 2014-01-10 81 0.09 GPS
NARRA PF1 2014-01-10 82 -0.06 GPS
NARRA PF1 2014-01-10 83 -0.21 GPS
NARRA PF1 2014-01-10 84 -0.31 GPS
NARRA PF1 2014-01-10 85 -0.36 GPS
NARRA PF1 2014-01-10 86 -0.37 GPS
NARRA PF1 2014-01-10 87 -0.36 GPS
NARRA PF1 2014-01-10 88 -0.36 GPS
NARRA PF1 2014-01-10 89 -0.38 GPS
NARRA PF1 2014-01-10 90 -0.37 GPS
NARRA PF1 2014-01-10 91 -0.36 GPS
NARRA PF1 2014-01-10 92 -0.36 GPS
NARRA PF1 2014-01-10 93 -0.36 GPS
NARRA PF1 2014-01-10 94 -0.38 GPS
