Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-02-01 107.06 -1.39 GPS
DUCK P-100 1998-02-01 107.41 -1.38 GPS
DUCK P-100 1998-02-01 107.75 -1.37 GPS
DUCK P-100 1998-02-01 109.00 -1.38 GPS
DUCK P-100 1998-02-01 109.35 -1.39 GPS
DUCK P-100 1998-02-01 109.69 -1.39 GPS
DUCK P-100 1998-02-01 110.03 -1.38 GPS
DUCK P-100 1998-02-01 110.52 -1.37 GPS
DUCK P-100 1998-02-01 111.14 -1.37 GPS
DUCK P-100 1998-02-01 111.49 -1.38 GPS
DUCK P-100 1998-02-01 112.11 -1.40 GPS
DUCK P-100 1998-02-01 112.60 -1.42 GPS
DUCK P-100 1998-02-01 113.22 -1.44 GPS
DUCK P-100 1998-02-01 113.85 -1.45 GPS
DUCK P-100 1998-02-01 114.54 -1.45 GPS
DUCK P-100 1998-02-01 115.16 -1.47 GPS
DUCK P-100 1998-02-01 115.65 -1.48 GPS
DUCK P-100 1998-02-01 116.13 -1.51 GPS
DUCK P-100 1998-02-01 116.56 -1.52 GPS
DUCK P-100 1998-02-01 116.96 -1.55 GPS
DUCK P-100 1998-02-01 117.39 -1.55 GPS
DUCK P-100 1998-02-01 117.73 -1.56 GPS
DUCK P-100 1998-02-01 118.22 -1.58 GPS
DUCK P-100 1998-02-01 118.56 -1.61 GPS
DUCK P-100 1998-02-01 119.13 -1.64 GPS
DUCK P-100 1998-02-01 119.47 -1.63 GPS
DUCK P-100 1998-02-01 119.96 -1.63 GPS
DUCK P-100 1998-02-01 120.54 -1.61 GPS
DUCK P-100 1998-02-01 120.99 -1.64 GPS
DUCK P-100 1998-02-01 121.44 -1.65 GPS
DUCK P-100 1998-02-01 121.78 -1.66 GPS
DUCK P-100 1998-02-01 122.69 -1.70 GPS
DUCK P-100 1998-02-01 123.33 -1.72 GPS
DUCK P-100 1998-02-01 123.92 -1.72 GPS
DUCK P-100 1998-02-01 124.53 -1.75 GPS
DUCK P-100 1998-02-01 125.17 -1.77 GPS
DUCK P-100 1998-02-01 125.63 -1.79 GPS
DUCK P-100 1998-02-01 126.14 -1.83 GPS
DUCK P-100 1998-02-01 126.57 -1.84 GPS
DUCK P-100 1998-02-01 126.93 -1.87 GPS
DUCK P-100 1998-02-01 127.51 -1.87 GPS
DUCK P-100 1998-02-01 128.19 -1.91 GPS
DUCK P-100 1998-02-01 128.84 -1.95 GPS
DUCK P-100 1998-02-01 129.43 -1.96 GPS
DUCK P-100 1998-02-01 130.08 -2.00 GPS
DUCK P-100 1998-02-01 130.57 -2.02 GPS
DUCK P-100 1998-02-01 131.28 -2.05 GPS
DUCK P-100 1998-02-01 131.83 -2.06 GPS
DUCK P-100 1998-02-01 132.33 -2.08 GPS
DUCK P-100 1998-02-01 132.98 -2.12 GPS
DUCK P-100 1998-02-01 133.53 -2.13 GPS
DUCK P-100 1998-02-01 134.16 -2.17 GPS
DUCK P-100 1998-02-01 134.81 -2.20 GPS
DUCK P-100 1998-02-01 135.41 -2.22 GPS
DUCK P-100 1998-02-01 136.05 -2.25 GPS
